"trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","ID","age","dob","marital","natlang","olang","gender","ethnicity","mental_check","educ_l","educ_c","mental","mentdrug","mentpos","sesparent","sesstudent","sesladder","sescurrency","educ_hs","educ_ce","s1self","chosenbody","s1selfjudge","s2selfjudge","s2self","sspc_01","sspc_02","pas_01","pas_02","pas_03","pas_04","pas_05","pas_06","pas_07","pas_08","pas_09","pas_10","pas_11","pas_12","pas_13","pas_14","contact_01","contact_02","contact_03","contact_04","contact_05","contact_06","contact_07","contact_08","contact_09","idnd_01","idnd_02","idnd_03","idnd_04","idnd_05","idnd_06","idnd_07","idnd_08","catch_01","adig_01","adig_02","adig_03","plcs_01","plcs_02","plcs_03","plcs_04","plcs_05","plcs_06","plcs_07","plcs_08","plcs_09","plcs_10","plcs_11","plcs_12","catch_02","wwwp_01","wwwp_02","wwwp_03","wwwp_04","wwwp_05","wwwp_06","wwwp_07","wwwp_08","wwwp_09","lsns_fam_1","lsns_fam_2","lsns_fam_3","lsns_fri_1","lsns_fri_2","lsns_fri_3","debrief","rt","url","success","view_history","responses","question_order","final_value","start_value","stimulus","key_press","trial","block","freq"
"pavlovia","0","5","0.0-0.0","e476sbj7cmaw40w","1","nathalie","24","08/1996","Single","English","French","Female","White or Caucasian","No","Undergraduate degree","Yes, Graduate studies","N/A","N/A","N/A","5","5","5","0","0","0","0.699999972","stim/H120.jpg","65","76","0.5000000200000001","1","3","4","","2","3","1","1","2","3","2","2","3","2","3","2","6","5","4","5","4","4","7","3","4","4","2","2","4","2","3","2","5","3","4","5","4","6","5","6","5","6","5","5","3","4","3","3","4","1","2","1","2","1","2","1","2","2","1","3","2","3","4","4","4","agree","","","","","","","","","","","","",""
"external-html","1","29898","0.0-1.0","e476sbj7cmaw40w","1","nathalie","24","08/1996","Single","English","French","Female","White or Caucasian","No","Undergraduate degree","Yes, Graduate studies","N/A","N/A","N/A","5","5","5","0","0","0","0.699999972","stim/H120.jpg","65","76","0.5000000200000001","1","3","4","","2","3","1","1","2","3","2","2","3","2","3","2","6","5","4","5","4","4","7","3","4","4","2","2","4","2","3","2","5","3","4","5","4","6","5","6","5","6","5","5","3","4","3","3","4","1","2","1","2","1","2","1","2","2","1","3","2","3","4","4","4","agree","29656.079999986105","sub/html/consent.html","","","","","","","","","","",""
"fullscreen","2","32731","0.0-2.0","e476sbj7cmaw40w","1","nathalie","24","08/1996","Single","English","French","Female","White or Caucasian","No","Undergraduate degree","Yes, Graduate studies","N/A","N/A","N/A","5","5","5","0","0","0","0.699999972","stim/H120.jpg","65","76","0.5000000200000001","1","3","4","","2","3","1","1","2","3","2","2","3","2","3","2","6","5","4","5","4","4","7","3","4","4","2","2","4","2","3","2","5","3","4","5","4","6","5","6","5","6","5","5","3","4","3","3","4","1","2","1","2","1","2","1","2","2","1","3","2","3","4","4","4","agree","","","true","","","","","","","","","",""
"instructions","3","46568","0.0-3.0","e476sbj7cmaw40w","1","nathalie","24","08/1996","Single","English","French","Female","White or Caucasian","No","Undergraduate degree","Yes, Graduate studies","N/A","N/A","N/A","5","5","5","0","0","0","0.699999972","stim/H120.jpg","65","76","0.5000000200000001","1","3","4","","2","3","1","1","2","3","2","2","3","2","3","2","6","5","4","5","4","4","7","3","4","4","2","2","4","2","3","2","5","3","4","5","4","6","5","6","5","6","5","5","3","4","3","3","4","1","2","1","2","1","2","1","2","2","1","3","2","3","4","4","4","agree","13835.869999995339","","","[{""page_index"":0,""viewing_time"":2218.9999999973224},{""page_index"":1,""viewing_time"":11615.62500000582}]","","","","","","","","",""
"survey-text","4","69398","0.0-4.0-0.0","e476sbj7cmaw40w","1","nathalie","24","08/1996","Single","English","French","Female","White or Caucasian","No","Undergraduate degree","Yes, Graduate studies","N/A","N/A","N/A","5","5","5","0","0","0","0.699999972","stim/H120.jpg","65","76","0.5000000200000001","1","3","4","","2","3","1","1","2","3","2","2","3","2","3","2","6","5","4","5","4","4","7","3","4","4","2","2","4","2","3","2","5","3","4","5","4","6","5","6","5","6","5","5","3","4","3","3","4","1","2","1","2","1","2","1","2","2","1","3","2","3","4","4","4","agree","22823.10999999754","","","","{""ID"":""nathalie"",""age"":""24"",""dob"":""08/1996"",""marital"":""Single"",""natlang"":""English"",""olang"":""French""}","","","","","","","",""
"survey-multi-choice","5","79313","0.0-4.0-1.0","e476sbj7cmaw40w","1","nathalie","24","08/1996","Single","English","French","Female","White or Caucasian","No","Undergraduate degree","Yes, Graduate studies","N/A","N/A","N/A","5","5","5","0","0","0","0.699999972","stim/H120.jpg","65","76","0.5000000200000001","1","3","4","","2","3","1","1","2","3","2","2","3","2","3","2","6","5","4","5","4","4","7","3","4","4","2","2","4","2","3","2","5","3","4","5","4","6","5","6","5","6","5","5","3","4","3","3","4","1","2","1","2","1","2","1","2","2","1","3","2","3","4","4","4","agree","9911.640000005718","","","","{""gender"":""Female"",""ethnicity"":""White or Caucasian"",""mental_check"":""No"",""educ_l"":""Undergraduate degree"",""educ_c"":""Yes, Graduate studies""}","[0,1,2,3,4]","","","","","","",""
"survey-text","6","104261","0.0-4.0-2.0","e476sbj7cmaw40w","1","nathalie","24","08/1996","Single","English","French","Female","White or Caucasian","No","Undergraduate degree","Yes, Graduate studies","N/A","N/A","N/A","5","5","5","0","0","0","0.699999972","stim/H120.jpg","65","76","0.5000000200000001","1","3","4","","2","3","1","1","2","3","2","2","3","2","3","2","6","5","4","5","4","4","7","3","4","4","2","2","4","2","3","2","5","3","4","5","4","6","5","6","5","6","5","5","3","4","3","3","4","1","2","1","2","1","2","1","2","2","1","3","2","3","4","4","4","agree","24941.104999990785","","","","{""mental"":""N/A"",""mentdrug"":""N/A"",""mentpos"":""N/A""}","","","","","","","",""
"survey-likert","7","115900","0.0-4.0-3.0","e476sbj7cmaw40w","1","nathalie","24","08/1996","Single","English","French","Female","White or Caucasian","No","Undergraduate degree","Yes, Graduate studies","N/A","N/A","N/A","5","5","5","0","0","0","0.699999972","stim/H120.jpg","65","76","0.5000000200000001","1","3","4","","2","3","1","1","2","3","2","2","3","2","3","2","6","5","4","5","4","4","7","3","4","4","2","2","4","2","3","2","5","3","4","5","4","6","5","6","5","6","5","5","3","4","3","3","4","1","2","1","2","1","2","1","2","2","1","3","2","3","4","4","4","agree","11634.935000009136","","","","{""sesparent"":5,""sesstudent"":5,""sesladder"":5,""sescurrency"":0}","[0,1,2,3]","","","","","","",""
"survey-likert","8","120055","0.0-4.0-4.0","e476sbj7cmaw40w","1","nathalie","24","08/1996","Single","English","French","Female","White or Caucasian","No","Undergraduate degree","Yes, Graduate studies","N/A","N/A","N/A","5","5","5","0","0","0","0.699999972","stim/H120.jpg","65","76","0.5000000200000001","1","3","4","","2","3","1","1","2","3","2","2","3","2","3","2","6","5","4","5","4","4","7","3","4","4","2","2","4","2","3","2","5","3","4","5","4","6","5","6","5","6","5","5","3","4","3","3","4","1","2","1","2","1","2","1","2","2","1","3","2","3","4","4","4","agree","4150.689999994938","","","","{""educ_hs"":0,""educ_ce"":0}","[0,1]","","","","","","",""
"reconstruction","9","163857","0.0-5.0","e476sbj7cmaw40w","1","nathalie","24","08/1996","Single","English","French","Female","White or Caucasian","No","Undergraduate degree","Yes, Graduate studies","N/A","N/A","N/A","5","5","5","0","0","0","0.699999972","stim/H120.jpg","65","76","0.5000000200000001","1","3","4","","2","3","1","1","2","3","2","2","3","2","3","2","6","5","4","5","4","4","7","3","4","4","2","2","4","2","3","2","5","3","4","5","4","6","5","6","5","6","5","5","3","4","3","3","4","1","2","1","2","1","2","1","2","2","1","3","2","3","4","4","4","agree","43798.68500000157","","","","","","0.699999972","0.5","","","","",""
