"trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","ID","age","dob","marital","natlang","olang","gender","ethnicity","mental_check","educ_l","educ_c","mental","mentdrug","mentpos","sesparent","sesstudent","sesladder","sescurrency","educ_hs","educ_ce","s1self","chosenbody","s1selfjudge","s2selfjudge","s2self","sspc_01","sspc_02","pas_01","pas_02","pas_03","pas_04","pas_05","pas_06","pas_07","pas_08","pas_09","pas_10","pas_11","pas_12","pas_13","pas_14","contact_01","contact_02","contact_03","contact_04","contact_05","contact_06","contact_07","contact_08","contact_09","idnd_01","idnd_02","idnd_03","idnd_04","idnd_05","idnd_06","idnd_07","idnd_08","catch_01","adig_01","adig_02","adig_03","plcs_01","plcs_02","plcs_03","plcs_04","plcs_05","plcs_06","plcs_07","plcs_08","plcs_09","plcs_10","plcs_11","plcs_12","catch_02","wwwp_01","wwwp_02","wwwp_03","wwwp_04","wwwp_05","wwwp_06","wwwp_07","wwwp_08","wwwp_09","lsns_fam_1","lsns_fam_2","lsns_fam_3","lsns_fri_1","lsns_fri_2","lsns_fri_3","debrief","rt","url","success","view_history","responses","question_order","final_value","start_value","stimulus","key_press","trial","block","freq"
"image-keyboard-response","10","1949078","0.0-6.0","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","12942.749999987427","","","","","","","","stim/N000.jpg","65","","",""
"instructions","11","2015441","0.0-7.0","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","66360.6199999922","","","[{""page_index"":0,""viewing_time"":3145.709999996936},{""page_index"":1,""viewing_time"":9831.559999991674},{""page_index"":2,""viewing_time"":4647.4350000061095},{""page_index"":3,""viewing_time"":7388.1350000011735},{""page_index"":4,""viewing_time"":8270.244999992196},{""page_index"":5,""viewing_time"":17162.110000004992},{""page_index"":6,""viewing_time"":6903.5850000071805},{""page_index"":5,""viewing_time"":551.6749999951571},{""page_index"":4,""viewing_time"":1727.8249999943655},{""page_index"":3,""viewing_time"":802.8400000040419},{""page_index"":2,""viewing_time"":2790.290000004461},{""page_index"":3,""viewing_time"":551.3249999929685},{""page_index"":4,""viewing_time"":462.4350000086706},{""page_index"":5,""viewing_time"":1184.309999997029},{""page_index"":6,""viewing_time"":940.8049999908544}]","","","","","","","","",""
"image-keyboard-response","12","2015943","0.0-8.0-0.0","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/H260.jpg","null","","",""
"html-keyboard-response","13","2017260","0.0-8.0-1.0","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","1315.4750000103377","","","","","","","","<div style=""font-size:60px;"">?</div>","65","1","Practice","0.5"
"image-keyboard-response","14","2018265","0.0-8.0-0.1","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/H090.jpg","null","","",""
"html-keyboard-response","15","2019158","0.0-8.0-1.1","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","892.1450000051409","","","","","","","","<div style=""font-size:60px;"">?</div>","65","2","Practice","0.5"
"image-keyboard-response","16","2020167","0.0-8.0-0.2","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/H290.jpg","null","","",""
"html-keyboard-response","17","2020590","0.0-8.0-1.2","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","421.6949999970384","","","","","","","","<div style=""font-size:60px;"">?</div>","65","3","Practice","0.5"
"image-keyboard-response","18","2021593","0.0-8.0-0.3","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/T210.jpg","null","","",""
"html-keyboard-response","19","2022084","0.0-8.0-1.3","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","488.685000004014","","","","","","","","<div style=""font-size:60px;"">?</div>","76","4","Practice","0.5"
"image-keyboard-response","20","2023092","0.0-8.0-0.4","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/H200.jpg","null","","",""
"html-keyboard-response","21","2023580","0.0-8.0-1.4","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","486.78500000108033","","","","","","","","<div style=""font-size:60px;"">?</div>","65","5","Practice","0.5"
"image-keyboard-response","22","2024591","0.0-8.0-0.5","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/T200.jpg","null","","",""
"html-keyboard-response","23","2025332","0.0-8.0-1.5","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","739.6149999988265","","","","","","","","<div style=""font-size:60px;"">?</div>","76","6","Practice","0.5"
"image-keyboard-response","24","2026336","0.0-8.0-0.6","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/T150.jpg","null","","",""
"html-keyboard-response","25","2026967","0.0-8.0-1.6","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","630.1000000094064","","","","","","","","<div style=""font-size:60px;"">?</div>","76","7","Practice","0.5"
"image-keyboard-response","26","2027978","0.0-8.0-0.7","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/T220.jpg","null","","",""
"html-keyboard-response","27","2028900","0.0-8.0-1.7","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","921.1400000057183","","","","","","","","<div style=""font-size:60px;"">?</div>","76","8","Practice","0.5"
"image-keyboard-response","28","2029906","0.0-8.0-0.8","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/T080.jpg","null","","",""
"html-keyboard-response","29","2030430","0.0-8.0-1.8","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","522.5399999909569","","","","","","","","<div style=""font-size:60px;"">?</div>","76","9","Practice","0.5"
"image-keyboard-response","30","2031434","0.0-8.0-0.9","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/H110.jpg","null","","",""
"html-keyboard-response","31","2031883","0.0-8.0-1.9","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","447.7850000113249","","","","","","","","<div style=""font-size:60px;"">?</div>","65","10","Practice","0.5"
"html-keyboard-response","32","2041004","0.0-9.0","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","8619.680000003427","","","","","","","","<p>You have now completed the practice series.</p><p>If you have any questions, please reload this page and read the instructions again.</p><p>Otherwise, you're ready to begin the study!</p><p><strong>REMEMBER</strong>: Press <b>L </b>when you think the face is of Middle-Eastern geographic origin, and <b>A </b>if not. </p><p>Press SPACE when you're ready to start!</p>","32","","",""
"html-keyboard-response","33","2042690","0.0-10.0","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","1180.7200000039302","","","","","","","","<p>Block 1</p><p>Press SPACE to continue.</p>","32","","",""
"image-keyboard-response","34","2044195","0.0-11.0-0.0","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/H170.jpg","null","","",""
"html-keyboard-response","35","2044797","0.0-11.0-1.0","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","600.8500000024214","","","","","","","","<div style=""font-size:60px;"">?</div>","65","1","1","0.5"
"image-keyboard-response","36","2045804","0.0-11.0-0.1","smf47cdyeys378j","0","1","21","09/1999","Single","English","French, Italian, Spanish","Female","White or Caucasian","No","CEGEP, non-university college, trade school or equivalent","Yes, Undergraduate studies","N/A","N/A","N/A","9","2","6","0","0","0","0.5","stim/N000.jpg","65","76","0.816666674","3","1","4","","2","2","3","3","2","2","3","3","0","1","1","3","1","5","1","5","5","1","0","0","0","5","1","2","4","4","0","3","5","5","3","1","4","0","5","2","1","3","0","5","2","3","4","5","6","1","5","5","5","5","6","4","5","6","5","3","2","3","4","2","3","agree","null","","","","","","","","stim/H190.jpg","null","","",""
